Test_ID;Page_ID;URL;Device;Final_Page_Type;Speed_Test_Segment;Test_Priority;Baseline_ID;Analysis_Phase
T131;P066;https://pmb.widyatama.ac.id/program-studi/manajemen-sumber-daya-manusia-s1/;mobile;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T132;P066;https://pmb.widyatama.ac.id/program-studi/manajemen-sumber-daya-manusia-s1/;desktop;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T133;P067;https://pmb.widyatama.ac.id/program-studi/manajemen-operasional-s1/;mobile;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T134;P067;https://pmb.widyatama.ac.id/program-studi/manajemen-operasional-s1/;desktop;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T135;P068;https://pmb.widyatama.ac.id/program-studi/manajemen-kewirausahaan-s1/;mobile;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T136;P068;https://pmb.widyatama.ac.id/program-studi/manajemen-kewirausahaan-s1/;desktop;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T137;P069;https://pmb.widyatama.ac.id/program-studi/teknik-industri-s1/;mobile;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T138;P069;https://pmb.widyatama.ac.id/program-studi/teknik-industri-s1/;desktop;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T139;P070;https://pmb.widyatama.ac.id/program-studi/manajemen-keuangan-s1/;mobile;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T140;P070;https://pmb.widyatama.ac.id/program-studi/manajemen-keuangan-s1/;desktop;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T141;P071;https://pmb.widyatama.ac.id/program-studi/sistem-informasi-s1/;mobile;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T142;P071;https://pmb.widyatama.ac.id/program-studi/sistem-informasi-s1/;desktop;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T143;P072;https://pmb.widyatama.ac.id/program-studi/teknik-informatika-s1/;mobile;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T144;P072;https://pmb.widyatama.ac.id/program-studi/teknik-informatika-s1/;desktop;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T145;P073;https://pmb.widyatama.ac.id/program-studi/akuntansi-s1/;mobile;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T146;P073;https://pmb.widyatama.ac.id/program-studi/akuntansi-s1/;desktop;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T147;P074;https://pmb.widyatama.ac.id/program-studi/creative-business-management-d3/;mobile;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T148;P074;https://pmb.widyatama.ac.id/program-studi/creative-business-management-d3/;desktop;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T149;P075;https://pmb.widyatama.ac.id/program-studi/film-and-television-production-d4/;mobile;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T150;P075;https://pmb.widyatama.ac.id/program-studi/film-and-television-production-d4/;desktop;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T151;P076;https://pmb.widyatama.ac.id/program-studi/manajemen-pemasaran-s1/;mobile;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T152;P076;https://pmb.widyatama.ac.id/program-studi/manajemen-pemasaran-s1/;desktop;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T153;P077;https://pmb.widyatama.ac.id/program-studi/perpustakaan-sains-informasi-s1/;mobile;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T154;P077;https://pmb.widyatama.ac.id/program-studi/perpustakaan-sains-informasi-s1/;desktop;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T155;P078;https://pmb.widyatama.ac.id/program-studi/bahasa-inggris-s1/;mobile;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T156;P078;https://pmb.widyatama.ac.id/program-studi/bahasa-inggris-s1/;desktop;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T157;P079;https://pmb.widyatama.ac.id/program-studi/digital-accounting-d3/;mobile;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T158;P079;https://pmb.widyatama.ac.id/program-studi/digital-accounting-d3/;desktop;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T159;P080;https://pmb.widyatama.ac.id/program-studi/teknik-elektro-s1/;mobile;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T160;P080;https://pmb.widyatama.ac.id/program-studi/teknik-elektro-s1/;desktop;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T161;P081;https://online.pmb.widyatama.ac.id/hasil;mobile;Registration System;Registration System;P1 - Critical;BL_20260821;BEFORE
T162;P081;https://online.pmb.widyatama.ac.id/hasil;desktop;Registration System;Registration System;P1 - Critical;BL_20260821;BEFORE
T163;P082;https://pmb.widyatama.ac.id/program-studi/interactive-multimedia-d3/;mobile;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T164;P082;https://pmb.widyatama.ac.id/program-studi/interactive-multimedia-d3/;desktop;Program;Core PMB Website;P1 - Critical;BL_20260821;BEFORE
T165;P083;https://online.pmb.widyatama.ac.id/auth/forgot_password;mobile;Registration System;Registration System;P1 - Critical;BL_20260821;BEFORE
T166;P083;https://online.pmb.widyatama.ac.id/auth/forgot_password;desktop;Registration System;Registration System;P1 - Critical;BL_20260821;BEFORE
T167;P084;https://pmb.widyatama.ac.id/category/science-and-technology/;mobile;Content Archive;Core PMB Website;P3 - Standard;BL_20260821;BEFORE
T168;P084;https://pmb.widyatama.ac.id/category/science-and-technology/;desktop;Content Archive;Core PMB Website;P3 - Standard;BL_20260821;BEFORE
T169;P085;https://pmb.widyatama.ac.id/category/medicine/;mobile;Content Archive;Core PMB Website;P3 - Standard;BL_20260821;BEFORE
T170;P085;https://pmb.widyatama.ac.id/category/medicine/;desktop;Content Archive;Core PMB Website;P3 - Standard;BL_20260821;BEFORE
T171;P086;https://pmb.widyatama.ac.id/category/law-and-policy/;mobile;Content Archive;Core PMB Website;P3 - Standard;BL_20260821;BEFORE
T172;P086;https://pmb.widyatama.ac.id/category/law-and-policy/;desktop;Content Archive;Core PMB Website;P3 - Standard;BL_20260821;BEFORE
T173;P087;https://pmb.widyatama.ac.id/2025/09/13/;mobile;Content Review;Content Audit;P4 - Content Audit;BL_20260821;BEFORE
T174;P087;https://pmb.widyatama.ac.id/2025/09/13/;desktop;Content Review;Content Audit;P4 - Content Audit;BL_20260821;BEFORE
